"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Cookstown","95I","Jobs density","Value",,"These figures are missing."
"2015","Craigavon","95N","Jobs density","Value",,"These figures are missing."
"2015","Derry","95A","Jobs density","Value",,"These figures are missing."
"2015","Down","95R","Jobs density","Value",,"These figures are missing."
"2015","Dungannon","95M","Jobs density","Value",,"These figures are missing."
"2015","Fermanagh","95L","Jobs density","Value",,"These figures are missing."
"2015","Larne","95F","Jobs density","Value",,"These figures are missing."
"2015","Limavady","95B","Jobs density","Value",,"These figures are missing."
"2015","Lisburn","95S","Jobs density","Value",,"These figures are missing."
"2015","Magherafelt","95H","Jobs density","Value",,"These figures are missing."
"2015","Moyle","95E","Jobs density","Value",,"These figures are missing."
"2015","Newry and Mourne","95P","Jobs density","Value",,"These figures are missing."
"2015","Newtownabbey","95U","Jobs density","Value",,"These figures are missing."
"2015","North Down","95W","Jobs density","Value",,"These figures are missing."
"2015","Omagh","95K","Jobs density","Value",,"These figures are missing."
"2015","Strabane","95J","Jobs density","Value",,"These figures are missing."
"2016","Darlington","E06000005","Jobs density","Value",0.84,"Normal Value"
"2016","County Durham","E06000047","Jobs density","Value",0.59,"Normal Value"
"2016","Hartlepool","E06000001","Jobs density","Value",0.59,"Normal Value"
"2016","Middlesbrough","E06000002","Jobs density","Value",0.75,"Normal Value"
"2016","Northumberland","E06000057","Jobs density","Value",0.65,"Normal Value"
"2016","Redcar and Cleveland","E06000003","Jobs density","Value",0.56,"Normal Value"
"2016","Stockton-on-Tees","E06000004","Jobs density","Value",0.72,"Normal Value"
"2016","Gateshead","E08000037","Jobs density","Value",0.81,"Normal Value"
"2016","Newcastle upon Tyne","E08000021","Jobs density","Value",0.97,"Normal Value"
"2016","North Tyneside","E08000022","Jobs density","Value",0.71,"Normal Value"
"2016","South Tyneside","E08000023","Jobs density","Value",0.52,"Normal Value"
"2016","Sunderland","E08000024","Jobs density","Value",0.72,"Normal Value"
"2016","Blackburn with Darwen","E06000008","Jobs density","Value",0.81,"Normal Value"
"2016","Blackpool","E06000009","Jobs density","Value",0.82,"Normal Value"
"2016","Cheshire East","E06000049","Jobs density","Value",0.98,"Normal Value"
"2016","Cheshire West and Chester","E06000050","Jobs density","Value",0.90,"Normal Value"
"2016","Halton","E06000006","Jobs density","Value",0.78,"Normal Value"
"2016","Warrington","E06000007","Jobs density","Value",1.10,"Normal Value"
"2016","Cumbria","E10000006","Jobs density","Value",0.92,"Normal Value"
"2016","Bolton","E08000001","Jobs density","Value",0.71,"Normal Value"
"2016","Bury","E08000002","Jobs density","Value",0.69,"Normal Value"
"2016","Manchester","E08000003","Jobs density","Value",1.11,"Normal Value"
"2016","Oldham","E08000004","Jobs density","Value",0.64,"Normal Value"
"2016","Rochdale","E08000005","Jobs density","Value",0.61,"Normal Value"
"2016","Salford","E08000006","Jobs density","Value",0.80,"Normal Value"
"2016","Stockport","E08000007","Jobs density","Value",0.80,"Normal Value"
"2016","Tameside","E08000008","Jobs density","Value",0.56,"Normal Value"
"2016","Trafford","E08000009","Jobs density","Value",1.13,"Normal Value"
"2016","Wigan","E08000010","Jobs density","Value",0.59,"Normal Value"
"2016","Lancashire","E10000017","Jobs density","Value",0.78,"Normal Value"
"2016","Knowsley","E08000011","Jobs density","Value",0.76,"Normal Value"
"2016","Liverpool","E08000012","Jobs density","Value",0.83,"Normal Value"
"2016","Sefton","E08000014","Jobs density","Value",0.62,"Normal Value"
"2016","St. Helens","E08000013","Jobs density","Value",0.61,"Normal Value"
"2016","Wirral","E08000015","Jobs density","Value",0.60,"Normal Value"
"2016","East Riding of Yorkshire","E06000011","Jobs density","Value",0.72,"Normal Value"
"2016","Kingston upon Hull, City of","E06000010","Jobs density","Value",0.77,"Normal Value"
"2016","North East Lincolnshire","E06000012","Jobs density","Value",0.80,"Normal Value"
"2016","North Lincolnshire","E06000013","Jobs density","Value",0.75,"Normal Value"
"2016","York","E06000014","Jobs density","Value",0.84,"Normal Value"
"2016","North Yorkshire","E10000023","Jobs density","Value",0.99,"Normal Value"
"2016","Barnsley","E08000016","Jobs density","Value",0.60,"Normal Value"
"2016","Doncaster","E08000017","Jobs density","Value",0.72,"Normal Value"
"2016","Rotherham","E08000018","Jobs density","Value",0.72,"Normal Value"
"2016","Sheffield","E08000019","Jobs density","Value",0.76,"Normal Value"
"2016","Bradford","E08000032","Jobs density","Value",0.69,"Normal Value"
"2016","Calderdale","E08000033","Jobs density","Value",0.85,"Normal Value"
"2016","Kirklees","E08000034","Jobs density","Value",0.67,"Normal Value"
"2016","Leeds","E08000035","Jobs density","Value",0.96,"Normal Value"
"2016","Wakefield","E08000036","Jobs density","Value",0.78,"Normal Value"
"2016","Derby","E06000015","Jobs density","Value",0.90,"Normal Value"
"2016","Leicester","E06000016","Jobs density","Value",0.87,"Normal Value"
"2016","Nottingham","E06000018","Jobs density","Value",1.08,"Normal Value"
"2016","Rutland","E06000017","Jobs density","Value",0.87,"Normal Value"
"2016","Derbyshire","E10000007","Jobs density","Value",0.69,"Normal Value"
"2016","Leicestershire","E10000018","Jobs density","Value",0.79,"Normal Value"
"2016","Lincolnshire","E10000019","Jobs density","Value",0.77,"Normal Value"
"2016","Northamptonshire","E10000021","Jobs density","Value",0.86,"Normal Value"
"2016","Nottinghamshire","E10000024","Jobs density","Value",0.68,"Normal Value"
"2016","Herefordshire, County of","E06000019","Jobs density","Value",0.85,"Normal Value"
"2016","Shropshire","E06000051","Jobs density","Value",0.81,"Normal Value"
"2016","Stoke-on-Trent","E06000021","Jobs density","Value",0.80,"Normal Value"
"2016","Telford and Wrekin","E06000020","Jobs density","Value",0.86,"Normal Value"
"2016","Staffordshire","E10000028","Jobs density","Value",0.74,"Normal Value"
"2016","Warwickshire","E10000031","Jobs density","Value",0.97,"Normal Value"
