"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"August 2017","Kingston upon Hull, City of","E06000010","Value","total","Total",15380,"Normal Value"
"August 2017","North East Lincolnshire","E06000012","Value","total","Total",7190,"Normal Value"
"August 2017","North Lincolnshire","E06000013","Value","total","Total",6080,"Normal Value"
"August 2017","York","E06000014","Value","total","Total",5070,"Normal Value"
"August 2017","North Yorkshire","E10000023","Value","total","Total",14650,"Normal Value"
"August 2017","Barnsley","E08000016","Value","total","Total",12500,"Normal Value"
"August 2017","Doncaster","E08000017","Value","total","Total",14460,"Normal Value"
"August 2017","Rotherham","E08000018","Value","total","Total",12550,"Normal Value"
"August 2017","Sheffield","E08000019","Value","total","Total",23790,"Normal Value"
"August 2017","Bradford","E08000032","Value","total","Total",23450,"Normal Value"
"August 2017","Calderdale","E08000033","Value","total","Total",8410,"Normal Value"
"August 2017","Kirklees","E08000034","Value","total","Total",17340,"Normal Value"
"August 2017","Leeds","E08000035","Value","total","Total",31010,"Normal Value"
"August 2017","Wakefield","E08000036","Value","total","Total",16570,"Normal Value"
"August 2017","Derby","E06000015","Value","total","Total",11590,"Normal Value"
"August 2017","Leicester","E06000016","Value","total","Total",16600,"Normal Value"
"August 2017","Nottingham","E06000018","Value","total","Total",17240,"Normal Value"
"August 2017","Rutland","E06000017","Value","total","Total",660,"Normal Value"
"August 2017","Derbyshire","E10000007","Value","total","Total",29910,"Normal Value"
"August 2017","Leicestershire","E10000018","Value","total","Total",16390,"Normal Value"
"August 2017","Lincolnshire","E10000019","Value","total","Total",26060,"Normal Value"
"August 2017","Northamptonshire","E10000021","Value","total","Total",20800,"Normal Value"
"August 2017","Nottinghamshire","E10000024","Value","total","Total",30640,"Normal Value"
"August 2017","Herefordshire, County of","E06000019","Value","total","Total",5420,"Normal Value"
"August 2017","Shropshire","E06000051","Value","total","Total",8670,"Normal Value"
"August 2017","Stoke-on-Trent","E06000021","Value","total","Total",15060,"Normal Value"
"August 2017","Telford and Wrekin","E06000020","Value","total","Total",7890,"Normal Value"
"August 2017","Staffordshire","E10000028","Value","total","Total",27500,"Normal Value"
"August 2017","Warwickshire","E10000031","Value","total","Total",14610,"Normal Value"
"August 2017","Birmingham","E08000025","Value","total","Total",51690,"Normal Value"
"August 2017","Coventry","E08000026","Value","total","Total",14050,"Normal Value"
"August 2017","Dudley","E08000027","Value","total","Total",11230,"Normal Value"
"August 2017","Sandwell","E08000028","Value","total","Total",15320,"Normal Value"
