ZoneSystem,ZoneID,Forecast,Year,Jobs,TotalPopn,HH,PopWorkAge,PopPensionAge,EcActive,In_GLA
Railplan,"4,361",GLA,"2,011",481,"1,353",580,831,555,831,TRUE
Railplan,"4,362",GLA,"2,011",177,"3,915","1,677","2,404","1,607","2,404",TRUE
Railplan,"4,363",GLA,"2,011","1,849","3,612","1,539","2,210","1,472","2,210",TRUE
Railplan,"4,364",GLA,"2,011","1,267","3,644","1,558","2,235","1,501","2,235",TRUE
Railplan,"4,365",GLA,"2,011",211,"4,280","1,697","2,511","1,591","2,511",TRUE
Railplan,"4,366",GLA,"2,011","1,290","4,573","1,814","2,684","1,701","2,684",TRUE
Railplan,"4,367",GLA,"2,011",557,"4,124","1,706","2,514","1,938","2,514",TRUE
Railplan,"4,368",GLA,"2,011",506,"1,477",585,934,660,934,TRUE
Railplan,"4,369",GLA,"2,011",919,"3,918","1,621","2,389","1,841","2,389",TRUE
Railplan,"4,370",GLA,"2,011",974,"3,495","1,446","2,131","1,642","2,131",TRUE
Railplan,"4,371",GLA,"2,011","3,843","3,564","1,418","2,258","1,593","2,258",TRUE
Railplan,"4,372",GLA,"2,011",240,"3,315","1,319","2,081","1,586","2,081",TRUE
Railplan,"4,373",GLA,"2,011",706,"4,354","1,738","2,726","2,079","2,726",TRUE
Railplan,"4,374",GLA,"2,011",446,"3,631","1,461","2,260","1,726","2,260",TRUE
Railplan,"4,375",GLA,"2,011","1,142","4,031","1,604","2,531","1,929","2,531",TRUE
Railplan,"4,376",GLA,"2,011","3,365","3,051","1,229","1,937","1,468","1,937",TRUE
Railplan,"4,377",GLA,"2,011","1,001","3,030","1,353","2,112","1,525","2,112",TRUE
Railplan,"4,378",GLA,"2,011",466,"3,995","1,589","2,314","1,674","2,314",TRUE
Railplan,"4,379",GLA,"2,011",672,977,397,581,434,581,TRUE
Railplan,"4,380",GLA,"2,011",465,"1,660",675,988,736,988,TRUE
Railplan,"4,381",GLA,"2,011",617,"3,694","1,508","2,208","1,644","2,208",TRUE
Railplan,"4,382",GLA,"2,011","1,334","3,936","1,605","2,350","1,741","2,350",TRUE
Railplan,"4,383",GLA,"2,011",413,"4,783","1,944","2,851","2,122","2,851",TRUE
Railplan,"4,384",GLA,"2,011",166,"2,175",867,"1,296",956,"1,296",TRUE
Railplan,"4,385",GLA,"2,011","1,674","2,209",913,"1,363",997,"1,363",TRUE
Railplan,"4,386",GLA,"2,011","1,412",983,434,652,471,652,TRUE
Railplan,"4,387",GLA,"2,011","5,278","1,315",575,855,618,855,TRUE
Railplan,"4,388",GLA,"2,011","1,098","3,529","1,546","2,304","1,663","2,304",TRUE
Railplan,"4,389",GLA,"2,011",935,"3,325","1,330","1,989","1,465","1,989",TRUE
Railplan,"4,390",GLA,"2,011",739,"3,720","1,557","2,319","1,704","2,319",TRUE
Railplan,"4,391",GLA,"2,011",474,"4,618","1,867","2,755","2,054","2,755",TRUE
Railplan,"4,392",GLA,"2,011","1,351","4,271","1,727","2,559","1,933","2,559",TRUE
Railplan,"4,393",GLA,"2,011",311,"3,490","1,386","2,019","1,457","2,019",TRUE
Railplan,"4,394",GLA,"2,011",675,"3,902","1,551","2,259","1,630","2,258",TRUE
Railplan,"4,395",GLA,"2,011",882,984,390,597,434,597,TRUE
Railplan,"4,396",GLA,"2,011",598,"4,082","1,647","2,406","1,735","2,406",TRUE
Railplan,"4,397",GLA,"2,011","1,561","3,414","1,378","2,013","1,451","2,013",TRUE
Railplan,"4,398",GLA,"2,011",137,"4,569","1,842","2,703","1,949","2,703",TRUE
Railplan,"4,404",GLA,"2,011",77,62,25,37,26,37,TRUE
Railplan,"4,459",GLA,"2,011",488,"1,612",609,846,644,846,TRUE
Railplan,"4,460",GLA,"2,011","3,101",389,158,234,0,0,FALSE
Railplan,"4,461",GLA,"2,011",742,221,99,147,111,147,TRUE
Railplan,"4,462",GLA,"2,011",180,1,1,1,1,1,TRUE
Railplan,"4,463",GLA,"2,011",412,13,6,9,7,9,TRUE
Railplan,"4,464",GLA,"2,011","1,983",27,12,18,14,18,TRUE
Railplan,"4,465",GLA,"2,011","2,531",44,17,27,18,27,TRUE
